DOID:10652  D000544
DOID:9970  D009765
DOID:9352  D003924
DOID:14701  D056693
DOID:9269  D008375
DOID:13922  D057765
DOID:9256  D015179
DOID:5419  D012559
DOID:9255  C563003
DOID:3649  D015325
DOID:5394  D015175
DOID:0080153  C536038
DOID:0080119  C536350
DOID:8778  D003424
DOID:0080016  D016135
DOID:9281  D010661
DOID:14330  D010300
DOID:0060693  C563156
DOID:10581  D007966
DOID:2377  D009103
DOID:14692  D019082
DOID:684  D006528
DOID:13608  D001656
DOID:0060296  C536210
DOID:10608  D002446
DOID:12849  D001321
DOID:7148  D001172
DOID:13189  D015210
DOID:14755  D056807
DOID:0050544  C564683
DOID:1793  D010190
DOID:3388  D010510
DOID:3613  D017825
DOID:9273  D020159
DOID:3651  D015324
DOID:0050799  C537622
DOID:9278  D020162
DOID:11612  D011085
DOID:1700  D016114
DOID:2394  D010051
DOID:3803  D003414
DOID:1338  D000742
DOID:0111071  C535442
DOID:0070226  C535933
DOID:0050470  D056731
DOID:2861  D000746
DOID:1391  D007863
DOID:0090060  C536739
DOID:14218  D054067
DOID:12842  D020275
DOID:1056  D009800
DOID:14365  C536778
DOID:8689  D000856
DOID:3312  D001714
DOID:0080150  C535668
DOID:4367  D043204
DOID:1485  D003550
DOID:1386  D000012
DOID:4810  D019294
DOID:10534  D013274
DOID:14118  D008072
DOID:10283  D011471
DOID:1064  D003554
DOID:11723  D020388
DOID:0050440  D052496
DOID:13810  D006938
DOID:13774  D000224
DOID:0050771  D010673
DOID:10582  D012035
DOID:2580  D018902
DOID:0050797  C536662
DOID:12365  D008288
DOID:9274  D020167
DOID:10588  D000326
DOID:0090145  C535600
DOID:12306  D014820
DOID:0090123  C537437
DOID:10763  D006973
DOID:9744  D003922
DOID:0090142  C535408
DOID:0060695  D000071017
DOID:0060358  D054069
DOID:8986  D009290
DOID:594  D016584
DOID:2476  D015419
DOID:12705  D005621
DOID:0111168  C562657
DOID:5204  D015319
DOID:3652  D007888
DOID:5572  D001506
DOID:9268  D020158
DOID:4890  D020190
DOID:0060168  C538320
DOID:0050722  C566618
DOID:9280  D020165
DOID:9270  D000474
DOID:1919  D007926
DOID:9870  D005693
DOID:893  D006527
DOID:2977  D006959
DOID:0060650  C536171
DOID:1206  D015518
DOID:0090106  C535325
DOID:399  D014375
DOID:0060439  C562687
DOID:9266  D003555
DOID:10604  D007787
DOID:12934  D007625
DOID:310  D017243
DOID:0080349  C567847
DOID:3687  D017241
DOID:0080132  C538280
DOID:3762  D030401
DOID:0080124  C567624
DOID:9869  D005633
DOID:12236  D008105
DOID:14753  C538167
DOID:9271  D020163
DOID:1415  D015799
DOID:0050452  D054078
DOID:3659  D029461
DOID:332  D000690
DOID:1924  D007006
DOID:14749  C537358
DOID:0111164  C565372
DOID:13270  D046351
DOID:0050476  D056889
DOID:0050694  C537111
DOID:3890  D017118
DOID:9406  D007018
DOID:0060744  C536648
DOID:0090110  C580192
DOID:1838  D007706
DOID:14723  C535818
DOID:856  D028921
DOID:11198  D004062
DOID:0060348  C537157
DOID:3526  D002544
DOID:0050450  D053579
DOID:0060484  C557674
DOID:1380  D016889
DOID:13269  D046349
DOID:0060855  D011546
DOID:0060640  C535737
DOID:9263  D006712
DOID:0060175  C535803
DOID:4346  D046350
DOID:11949  D007562
DOID:10923  D000755
DOID:0110002  C562801
DOID:14221  D024821
DOID:0060602  C565768
DOID:0090019  C537345
DOID:350  D008415
DOID:0080361  C536561
DOID:1060  D006250
DOID:14501  D016111
DOID:12804  D009085
DOID:3310  D003876
DOID:14213  C562440
DOID:2841  D001249
DOID:0090028  C535393
DOID:6364  D008881
DOID:1909  D008545
DOID:11459  D011559
DOID:11476  D010024
DOID:14499  D000795
DOID:14080  C563177
DOID:4483  D012220
DOID:1094  D001289
DOID:0050605  C538178
